system:index,IDate,Id,.geo
00000000000000001da8,1550131200000,22637113,"{""type"":""Polygon"",""coordinates"":[[[-36.02577747249912,-9.68333480084514],[-36.02155472440586,-9.683334776715032],[-36.02110437855,-9.679165539381186],[-36.025331550457004,-9.679165506993135],[-36.02577747249912,-9.68333480084514]]]}"
00000000000000001dc5,1550131200000,22637121,"{""type"":""Polygon"",""coordinates"":[[[-36.13639439758476,-9.729165447891852],[-36.13684473964138,-9.733334669274223],[-36.13261757172708,-9.733334725470913],[-36.13216720510057,-9.72916545815962],[-36.13639439758476,-9.729165447891852]]]}"
00000000000000001dd7,1550131200000,22637125,"{""type"":""Polygon"",""coordinates"":[[[-36.15888608425358,-9.741668783938586],[-36.154658876614796,-9.741668739011562],[-36.154208555296826,-9.73749950478892],[-36.15843570467551,-9.737499534463376],[-36.15888608425358,-9.741668783938586]]]}"
00000000000000001de5,1550131200000,22637127,"{""type"":""Polygon"",""coordinates"":[[[-36.091696399994284,-9.745833560182932],[-36.09214675272697,-9.749998368567224],[-36.087919554682294,-9.749998358167309],[-36.08746917745808,-9.745833575933736],[-36.091696399994284,-9.745833560182932]]]}"
00000000000000001dec,1550131200000,22637131,"{""type"":""Polygon"",""coordinates"":[[[-36.31757656851338,-9.762501674148611],[-36.321808309686865,-9.762501655064858],[-36.32225864299652,-9.766666501163147],[-36.318031392277135,-9.766666518002642],[-36.31757656851338,-9.762501674148611]]]}"
00000000000000001e24,1550131200000,22637172,"{""type"":""Polygon"",""coordinates"":[[[-40.604761490696575,-15.383332335025411],[-40.60044061893684,-15.38333232111175],[-40.59962906809652,-15.379167499110244],[-40.60394992267833,-15.379167533915789],[-40.604761490696575,-15.383332335025411]]]}"
00000000000000001e2d,1550131200000,22637172,"{""type"":""Polygon"",""coordinates"":[[[-40.598558842326526,-15.395831172486735],[-40.59937040810769,-15.40000045696585],[-40.59504952318807,-15.400000425224531],[-40.59423797461091,-15.39583119228298],[-40.598558842326526,-15.395831172486735]]]}"
00000000000000001e2f,1550131200000,22637172,"{""type"":""Polygon"",""coordinates"":[[[-40.60369128191693,-15.400000446241451],[-40.60450727139227,-15.404165247011678],[-40.60018196255907,-15.404165232590273],[-40.59937040810769,-15.40000045696585],[-40.60369128191693,-15.400000446241451]]]}"
00000000000000001e33,1550131200000,22637178,"{""type"":""Polygon"",""coordinates"":[[[-39.66709726672744,-15.429167448185737],[-39.66277638193487,-15.429167441067083],[-39.661978214443124,-15.424998151623981],[-39.66630356441401,-15.424998169633385],[-39.66709726672744,-15.429167448185737]]]}"
00000000000000001e3a,1550131200000,22637188,"{""type"":""Polygon"",""coordinates"":[[[-39.21094013236092,-15.508334281385213],[-39.20661929638275,-15.508334305300071],[-39.205825574955426,-15.504165042580029],[-39.2101508273626,-15.504165051097871],[-39.21094013236092,-15.508334281385213]]]}"
